ds,temp_max,temp_max_lower,temp_max_upper,temp_min,temp_min_lower,temp_min_upper,rainfall,rainfall_lower,rainfall_upper,humidity,humidity_lower,humidity_upper,wind_speed,wind_speed_lower,wind_speed_upper
2025-06-09,28.7374651863686,26.895104743605497,30.810926292259506,20.60042558181676,19.304201823219056,21.968843090360114,3.460188651266826,-3.218155052082898,10.78109619676807,76.45294698828684,66.56263844860788,86.51363921258408,17.591457255825063,12.207974920072598,22.450846717066632
2025-06-10,28.757785896803966,26.951834255370166,30.741125562438484,20.520880414180542,19.245789685910317,21.850258707128447,3.310069505722578,-3.3741668693747973,10.085048816764091,76.26098966847104,66.74409634339692,86.64834512193902,17.443998075630333,11.825196655674244,23.07226448097122
2025-06-11,28.715291137343808,26.761888430101102,30.669509480942864,20.516371326313294,19.09685078273648,21.8684998269481,3.695856197002022,-2.7647691529035905,10.614360264250301,76.0982400476321,65.60551507456802,86.2273799709695,17.362041738620203,12.022275659128454,23.011879929870005
2025-06-12,28.57285424910608,26.532907547784447,30.452787104852867,20.547242950257772,19.244500204639024,21.954233272399435,4.179826491713689,-2.493566071850508,10.895111351925005,76.37570707729054,66.4870124081132,86.5818352187159,17.751894408258817,12.574262097257721,23.64374528360582
2025-06-13,28.59531554347028,26.67978702630574,30.505774655670297,20.52547449353148,19.285995316195137,21.831429991370364,3.9159851496022515,-2.7880723695998832,10.827787844609329,76.37564764511627,66.13309863824338,86.30730195262461,18.051375296962988,12.836548242245454,23.60786259232443
2025-06-14,28.4970759399143,26.517080219004086,30.439025924984453,20.436836697922,19.067923529430416,21.892512542552844,3.815842354552653,-3.37962522001157,10.674125432580064,77.0464046835709,67.2099834940416,87.30536272083918,18.055808730688625,12.572969489492346,23.64093843854847
2025-06-15,28.357426408946495,26.480204245526355,30.1973208911685,20.472082422969535,19.12603169753279,21.817382372091984,3.7280176380088514,-3.227924078053902,10.547808658271475,77.04712475123118,67.37529757478266,87.37000954864084,18.2266663108457,13.12218094761043,23.580396344101512
2025-06-16,28.30371107365121,26.300390195008088,30.190547209851157,20.421678361083412,19.088183480561952,21.749266658620748,3.817147889197404,-4.067405064584479,10.742547341830361,76.94653247745565,67.0207309683583,86.86328647161811,18.442323343444524,13.071236888078136,23.733340692659112
2025-06-17,28.30067548407009,26.60099769092148,30.37327237124525,20.335685035578663,19.02428646584578,21.62236242770105,3.7656225042694342,-2.98527453813832,10.947779165766267,76.90981747159486,66.25972110451023,87.07065364942257,18.277499281814848,12.530120895314194,23.658138991372436
2025-06-18,28.23495448548585,26.323920871806255,30.231447372194836,20.326398387396623,19.04668646073903,21.638723874038345,4.236720018723908,-2.1517079585147667,11.835784586133082,76.90768202537174,67.06656088925614,87.41654449025718,18.172728239600254,12.917810058877974,23.773591068694056
2025-06-19,28.069826920091426,26.223956548545864,29.82353529125159,20.354435484786208,18.93370661489764,21.636196497706596,4.792082971909929,-2.2897475093232154,11.947806569759393,77.34825156726369,67.5375401473053,87.78023723063238,18.534280802505542,13.149188740304046,23.787869863550466
2025-06-20,28.07048453372394,26.236221522752494,29.92073045107937,20.33197758400657,19.00378278669382,21.772913496161184,4.5856025042600805,-2.6565940299448765,11.613546273675492,77.51105905809756,66.99624117575557,86.78704588204027,18.80019113688954,13.12513479340937,24.485258560045732
2025-06-21,27.951624011824716,25.904942885318853,29.86666612470347,20.244922010135706,19.054629725053214,21.55826603972014,4.529175976241876,-2.1798281802572284,11.50035472365647,78.34191091880243,67.33182804552978,88.62533773191873,18.766252858420472,13.527060851694536,24.111597351421057
2025-06-22,27.7927768918722,25.823499097497194,29.73066519686856,20.284070061611974,18.971351799331263,21.616410199100905,4.472273489169533,-2.6031821150638748,10.951226214253587,78.49762515441276,68.22543722465373,88.9391890657103,18.894655808406196,13.583932559397862,24.037859394173513
2025-06-23,27.721475053963452,25.77265383413032,29.781024671837837,20.239858478552982,18.955543961084828,21.536675153643955,4.580793296700138,-2.4894356100038255,11.769744552348165,78.5448192289209,68.44006147274142,89.1381496185435,19.064727849187484,13.766846839473164,24.373003204341583
2025-06-24,27.70260309331634,25.814181256114306,29.52679096076322,20.162241587530097,18.81499172922123,21.52584227936395,4.538731037755889,-2.8720152896846396,11.844986034137658,78.64680367405839,68.28530342383145,88.35590436519502,18.852351658139867,13.484116536447017,24.39458899773338
2025-06-25,27.62289173502235,25.583874602123522,29.58985977361857,20.16333732056593,18.823530078397056,21.38190292956939,5.011239438948005,-2.1772241492198,12.006030546094816,78.772630338573,69.02702909333804,89.82256083908885,18.699403099745375,13.500352417852387,24.133616067709447
2025-06-26,27.44567922922697,25.535078023785076,29.3411003881117,20.203519469548688,18.883526312397922,21.45599864445076,5.562017892002929,-1.6676928946601035,12.36702731347829,79.32899798282055,68.76772969161664,90.04293824466389,19.01363320598315,13.760906060746601,24.412849451785373
2025-06-27,27.436187767391115,25.567676490211564,29.407157654789454,20.194669172076047,18.935530729854094,21.51877215243268,5.347106333066812,-1.4411451947551204,12.362038423248434,79.59422728946195,68.78202603201795,90.2338104975156,19.234648824712373,14.186023445512737,24.886136421273026
2025-06-28,27.309123494641145,25.388263727088496,29.243025345428677,20.12233681451342,18.801615900720176,21.477099403332197,5.2805498165451015,-1.4736233472042828,11.89050801603795,80.51311386211913,70.29131928035304,91.30875062059081,19.159856693552396,13.639664973901857,24.316733076274435
